言い換える,to rephrase,"He rephrased it in simpler terms."
着替え,change of clothes,"I packed a change of clothes in my travel bag."
交替,rotation,"We took turns carrying the luggage home."
火災,fire,"The fire's cause was reportedly arson."
災難,misfortune,"I faced unexpected misfortune during my trip."
ごろごろ,rumbling,"The thunder is rumbling."
障害,obstacle,"Let's remove obstacles first before proceeding with the plan."
災害,disaster,"Earthquakes are a type of natural disaster."
公害,pollution,"We are working hard to reduce pollution."
水害,flood damage,"Many people lost their homes due to the flood damage."
害,harm,"Drinking too much alcohol is harmful to health."
被せる,to cover,"I covered the book with a protective cover."
救う,to save,"She was saved by a passerby."
シューズ,shoes,"Jogging shoes are not cheap."
救い,salvation,"My daughter's presence was my salvation."
助手,assistant,"Please leave the materials with the assistant."
救助,rescue,"A boy was rescued from the pool."
支援,support,"What would have happened without his support?"
援助,aid,"That country needs material aid."
小遣い,allowance,"I received some allowance from my grandfather."
キス,kiss,"My first kiss was on the beach."
警告,warning,"My car received a parking violation warning."
警官,policeman,"A policeman stopped me on the road."
管,pipe,"A gas pipe exploded."
犯す,to commit,"He committed a major mistake."
強盗,robbery,"The robbery was caught on camera."
自殺,suicide,"The suspect committed suicide before being arrested."
殺人,murder,"The murder happened in broad daylight."
くるくる,spinning,"The cat spun around my feet."
奪う,to snatch,"That man snatched her bag."
戦後,postwar,"Japan was in chaos after the war."
作戦,strategy,"They planned their strategy for the next match."
戦場,battlefield,"My grandfather has been to the battlefield."
戦前,prewar,"Life before the war was completely different from now."
戦死,to die in battle,"My grandfather died in the war."
争い,conflict,"Conflicts never cease in that region."
争う,to compete,"The two nations are competing for resources."
サボる,to slack off,"You're slacking off at work again."
競技,competition,"He likes individual sports competitions."
混雑,congestion,"The department store was crowded today."
混乱,chaos,"The town was in chaos after the earthquake."
捜す,to search,"The police are searching for the man."
索引,index,"Indexes are usually located at the back of books."
落ち着く,to calm down,"Please calm down and listen to me."
落ち着き,calmness,"My younger brother lacks calmness."
ショッピング,shopping,"Her favorite pastime is shopping."
落とし物,lost item,"I found a lost wallet."
交流,exchange,"Let's deepen exchanges with other towns."
一流,top-class,"He is a top-class athlete."
上流,upstream,"There is a waterfall upstream."
下流,downstream,"There is a small waterfall downstream."
海流,ocean current,"Two ocean currents meet here."
三流,third-rate,"He graduated from a third-rate university but is now a company president."
スマート,smart,"He always acts smartly."
洪水,flood,"Many houses were washed away by the flood."
崩れる,to collapse,"The heavy rain caused a cliff to collapse."
崩す,to disrupt,"She has disrupted her health."
水洗,flushing,"Most toilets nowadays are flushing type."
洗い物,dishes,"My mother is washing dishes in the kitchen."
石油,petroleum,"Japan imports most of its petroleum."
油絵,oil painting,"I paint oil paintings as a hobby."
浮かぶ,to float,"A boat is floating offshore."
ずらり,lined up,"Shoes were lined up at the entrance."
浮かべる,to float something,"I floated flowers in the bath."
浮く,to float,"Ice floats on water."
沈める,to sink,"She sank into the sofa."
将来,future,"I want to be a pilot in the future."
永遠,eternity,"Peace is humanity's eternal theme."
永久,forever,"He is gone forever."
河口,river mouth,"This river's mouth flows into the Pacific Ocean."
冷ます,to cool down,"The tea was very hot, so I let it cool before drinking."
車庫,garage,"I parked the car in the garage."
金庫,safe,"I put valuables in the hotel safe."
心臓,heart,"My grandmother has a heart condition."
軽快,light,"They danced with light steps."
快い,pleasant,"She is enjoying a pleasant sleep."
快晴,clear weather,"It's clear weather today."
ウナギ,eel,"Grilled eel is delicious."
最適,optimal,"This is the optimal environment for raising children."
指摘,pointing out,"Thank you for pointing that out."
湿度,humidity,"Summer in Japan is very humid."
湿っぽい,damp,"It's been raining continuously, and the house feels damp."
湿気,moisture,"This room is dark and has a lot of moisture."
湿る,to be damp,"The laundry is still damp."
汚染,pollution,"The water in that river is polluted."
景気,economic conditions,"The economy has been recovering."
ガード,guard,"A new guardrail was installed on the sidewalk."
影,shadow,"A man's shadow is reflected in the window."
境界,boundary,"This is the boundary with the neighboring city."
環境,environment,"Moving house changed my environment."
国境,border,"The border is right near that mountain."
境,border,"A river flows at the border between the two cities."
観察,observation,"Observe the growth of flowers and write in your diary."
外観,appearance,"The building with the modern exterior is the embassy."
かぼちゃ,pumpkin,"Pumpkin soup is delicious."
客観的,objective,"He looked at his situation objectively."
主観,subjectivity,"You shouldn't judge things based solely on subjectivity."
主観的,subjective,"That is a subjective opinion."
観客,audience,"The audience was excited."
観光,sightseeing,"I did sightseeing in Kyoto for three days."
観測,observation,"The teacher took us to observe the stars."
推測,guess,"That is nothing more than his guess."
クイズ,quiz,"I enjoy watching quiz shows."
宇宙,space,"The mysteries of space are infinitely vast."
衛星,satellite,"A satellite was launched."
衛生,hygiene,"Let's take good care of hygiene."
衛生的,hygienic,"This restaurant is hygienic and reassuring."
球,ball,"He loves ball games."
震度,seismic intensity,"This morning's earthquake had a seismic intensity of 3."
振動,vibration,"The vibrations from the car caused the items on the shelf to fall."
クリーム,cream,"After doing the dishes, I apply cream to my hands."
神経,nerve,"He is very sensitive."
神様,God,"I prayed to God."
神道,Shinto,"Her family practices Shinto."
精神,mind,"Her mind is unstable right now."
精算,adjustment,"Please settle the fare at the station where you get off."
厳重,strict,"I was strictly warned by my boss."
貴重,valuable,"He had a valuable experience."
貴重品,valuables,"Please keep your valuables with you."
ぐるぐる,spinning around,"The dog is spinning around chasing its tail."
跡,trace,"There are tire marks here."
足跡,footprint,"There were rabbit footprints on the snow."
好奇心,curiosity,"Children are full of curiosity."
奇跡,miracle,"His magic tricks are like miracles."
奇数,odd number,"3 is an odd number."
経歴,career,"Please send your career history by email."
学歴,educational background,"This job requires a university degree."
さぞ,undoubtedly,"You must have been very disappointed."
王,king,"I visited the king's tomb."
王様,king,"The king of that country is very wise."
建築,architecture,"They are building a house."
新築,newly built,"He built a new house last year."
構想,concept,"He is working on a concept for a new novel."
構える,to set up,"He has set up a shop on that street."
結構,fairly,"She looks pretty good in glasses."
サングラス,sunglasses,"He looks good in sunglasses."
構う,to care,"You shouldn't care too much for the child."
位,rank,"With higher rank comes more responsibility."
設置,installation,"A security camera has been installed in the shop."
距離,distance,"They kept walking a long distance."
一周,one lap,"We took a lap around the garden."
辺り,vicinity,"I looked around the area."
周囲,surroundings,"Speaking loudly is annoying to the people around you."
きっちり,precisely,"She arrived precisely at 3 o'clock."
囲む,to surround,"The whole family gathered around the dining table for the first time in a while."
横断,crossing,"Be careful when crossing the road."
継続,continuation,"It's important to persist in things patiently."
欧米,Europe and America,"That company has expanded into Europe and America."
州,state,"Next month, I will move to the neighboring state."
陸,land,"A sea turtle came ashore."
極めて,extremely,"This is an extremely important issue."
きゅうり,cucumber,"I ate cucumbers with miso."
消極的,passive,"Passive people don't succeed."
極端,extreme,"That is an extreme opinion."
最先端,cutting-edge,"That camera uses cutting-edge technology."
一緒,together,"Shall we eat together?"
外貨,foreign currency,"I exchanged foreign currency."
貨物,cargo,"Let's send this trunk as cargo."
車輪,wheel,"The wheels of this truck look sturdy."
すっと,smoothly,"I felt relieved after saying what I wanted to say."
回復,recovery,"My body has completely recovered."
渋い,astringent,"This persimmon is astringent."
渋滞,traffic jam,"This highway often has traffic jams."
一帯,area,"This entire area is an apple orchard."
帯,belt,"This belt is too long."
温帯,temperate zone,"Japan is in the temperate zone."
守備,defense,"That team's defense is weak."
帰宅,returning home,"I got home at 11 p.m."
すらすら,fluently,"The elementary school student read a difficult book fluently."
住宅地,residential area,"That residential area is in a convenient location."
宛先,address,"The letter was returned due to an unknown address."
宛名,recipient,"I wrote the recipient's name on the letter."
後戻り,turning back,"She turned back midway."
起源,origin,"I'm very interested in the origin of words."
起き上がる,to get up,"My younger brother finally got up from the bed."
寝室,bedroom,"I replaced the wallpaper in the bedroom."
静まる,to become calm,"The typhoon passed, and the wind became calm."
休暇,vacation,"I'm going to the Philippines during my next vacation."
片手,one hand,"Driving with one hand is dangerous."
片方,one side,"One of my eyes is itchy."
片側,one side,"This road has one-way traffic."
裏切る,to betray,"He betrayed his comrades."
裏口,back entrance,"Please go around to the back entrance."
裏返し,inside out,"You're wearing your shirt inside out."
裏門,back gate,"He came out from the back gate."
裏表,inside and outside,"Your shirt is inside out."
項目,item,"I organized the items of the thesis to make them easier to understand."
印象,impression,"I got a good impression of him."
印,mark,"I marked the mistakes."
クッキー,cookie,"I had cookies and tea."
印刷,printing,"I printed New Year's cards."
週刊,weekly,"I buy this weekly magazine every week."
月刊,monthly,"Is this magazine a monthly issue?"
出版,publication,"This book was published 15 years ago."
出版社,publisher,"She works at a publishing company."
詳細,details,"Please feel free to ask for more details."
心細い,lonely,"Walking alone at night feels lonely."
掲示,posting,"I posted the slogan for the event."
コンセント,power outlet,"I plugged the cord into the power outlet."
積極的,proactive,"My sister is proactive about everything."
言い訳,excuse,"You make too many excuses."
誤り,error,"There are three errors in the answer."
誤る,to make a mistake,"He made a mistake in operating the machine."
誤解,misunderstanding,"Aren't you misunderstanding my feelings!"
気付く,to notice,"He finally noticed the problem."
くっ付く,to stick,"Chewing gum stuck to the sole of my shoe."
ずるい,unfair,"Your way of doing things is unfair."
追い付く,to catch up,"I finally caught up with him at the station."
顔付き,expression,"He spoke with a scary expression."
思い付く,to come up with,"He came up with a brilliant idea."
後片付け,tidying up,"I helped clean up after the meal."
傷付く,to be hurt,"I was hurt by her words."
傷付ける,to hurt,"I didn't mean to hurt you."
くっ付ける,to stick,"He pressed his ear to the wall to listen to the conversation next door."
せっかち,impatient,"He is so impatient, it's troublesome."
言付ける,to send a message,"I left a message for her."
金属,metal,"Aluminum is a type of metal."
所属,affiliation,"At school, I was part of the music club."
大蔵省,Ministry of Finance,"He works at the Ministry of Finance."
外務省,Ministry of Foreign Affairs,"I inquired about the visa at the Ministry of Foreign Affairs."
帰省,returning home,"I'm going home next week."
省略,omission,"Small buildings on the map are omitted."
概念,concept,"The internet has changed the concept of information."
記念,commemoration,"We took a trip together to commemorate our graduation."
信念,belief,"I want to follow my beliefs."
順調,going well,"Everything is going smoothly."
順,order,"Please arrange them in alphabetical order."
順番,sequence,"Please rearrange these in the correct order."
順位,rank,"This year, my rank is higher than last year."
順々に,one by one,"The children received the treats one by one."
順序,sequence,"Please operate in the correct sequence."
逆,reverse,"The station is in the opposite direction."
逆らう,to oppose,"It's not good to go against your parents."
逆さ,upside down,"Look at the picture upside down."
逆さま,upside down,"That's upside down!"
行列,line,"There's a long line in front of the store."
整列,alignment,"Go to the gym and line up."
くだらない,worthless,"Stop that meaningless chatter."
実例,example,"Please explain using an example."
余り,remaining,"Let's use the leftovers next time."
削減,reduction,"It was decided that the welfare budget will not be reduced."
削除,deletion,"Please delete unnecessary files."
既に,already,"Everyone already knows about that."
既製,ready-made,"His body type doesn't fit into ready-made sizes."
深刻,serious,"This is a serious issue."
刻む,to chop,"Please finely chop the onion."
ずうずうしい,brazen,"What a brazen person!"
時刻,time,"The current time is 6:35."
締め切り,deadline,"When is the application deadline?"
締め切る,to close,"The application window has been closed."
締まる,to tighten,"Turn the lever to the right to tighten it."
栄える,to prosper,"This town once prospered during the Gold Rush."
栄養,nutrition,"Tofu is a nutritious food."
教養,culture,"She is a very cultured person."
すやすや,peacefully,"The child is sleeping peacefully."
休養,rest,"She is currently resting."
苦しむ,to suffer,"She is suffering from allergies."
苦情,complaint,"I called the store to complain."
苦心,hard work,"I put a lot of effort into finishing the painting."
苦しみ,suffering,"No one understood his suffering."
苦痛,pain,"Speaking in front of people is painful for me."
苦しめる,to torment,"The strong sunlight tormented the players."
セルフサービス,self-service,"This cafeteria is self-service."
苦労,struggle,"My mother worked hard to raise us."
勤労,work,"My father had a long working life."
過労,overwork,"He collapsed due to overwork."
困難,difficulty,"Don't give up even when facing difficulties."
甘える,to take advantage,"I relied on her kindness."
甘やかす,to spoil,"You shouldn't spoil children."
アルファベット,alphabet,"This child can recite the entire alphabet."
幸い,fortunately,"Fortunately, the train wasn't affected by the storm."
幸運,luck,"I was lucky to get a ticket."
幸福,happiness,"She is living a happy life."
砂,sand,"Sand got into my shoes."
砂漠,desert,"It hardly ever rains in the desert."
漁業,fishing industry,"They are engaged in the fishing industry."
薄暗い,dim,"It has already gotten dim outside."
薄める,to dilute,"Shall we dilute the soup a bit?"
薄着,light clothing,"Even in winter, the children wear light clothing."
厚着,heavy clothing,"I try not to wear heavy clothing regularly."
圧力,pressure,"The other company exerted strong pressure."
気圧,atmospheric pressure,"The air pressure is low on high mountains."
高気圧,high-pressure,"This heat is due to a high-pressure system."
縮小,reduction,"Please reduce and print this."
越す,to surpass,"The heat has surpassed its peak."
追い抜く,to overtake,"He overtook two people in the relay."
札,sign,"There's still an 'Open' sign outside the shop."
改札,ticket gate,"Let's meet at the ticket gate at 3."
感謝,gratitude,"I am grateful to my family."
月謝,tuition fee,"Did you hand over the tuition fee to the teacher?"
射す,to shine,"The sun is shining today for the first time in a while."
過程,process,"There's an issue in the process of the program."
イントネーション,intonation,"Pay attention to the differences in intonation."
課程,curriculum,"I completed the first-year curriculum."
行程,itinerary,"The itinerary totals six hours."
先程,a short while ago,"Regarding that matter, I obtained approval from my boss a short while ago."
優れる,to excel,"He is an exceptionally skilled player."
女優,actress,"Her dream has always been to become an actress."
透き通る,to be transparent,"The lake's water was crystal clear."
指導,guidance,"He is good at guiding students."
希望,hope,"He hopes to work at the head office."
がたがた,rattling,"This chair is rattling."
失望,disappointment,"She was disappointed with her married life."
意志,will,"He has a strong will."
志す,to aspire,"I aspire to become a doctor."
怒り,anger,"He was bursting with anger."
自身,oneself,"You must not doubt yourself."
出身,origin,"My wife is from Kyushu."
全身,whole body,"The day after exercising, my whole body hurts."
カンニング,cheating,"Anyone caught cheating gets zero points."
身長,height,"How tall are you?"
心身,body and mind,"I was exhausted both physically and mentally."
受け身,passivity,"He's always passive and never takes the initiative."
証拠,evidence,"We can't arrest him until we find evidence."
照明,lighting,"Please make the lighting brighter."
工夫,ingenuity,"I used various ingenious methods to complete the task."
主婦,housewife,"The primary role of a housewife is household chores."
産婦人科,obstetrics and gynecology,"Recently, there's been a shortage of obstetricians and gynecologists."
奥様,wife,"The president's wife is very beautiful."
交互,alternately,"Please line up alternately, male and female."
高齢,old age,"He resigned as president due to his advanced age."
愛情,affection,"Children need plenty of affection."
可愛らしい,cute,"She made a cute outfit for her daughter."
可愛がる,to cherish,"She cherishes her cat."
恋,romance,"She fell in love and became beautiful."
失恋,broken heart,"It seems he recently had his heart broken."
恋する,to fall in love,"I wrote a song about falling in love."
延長,extension,"The parliamentary session was extended."
延期,postponement,"The sports day was postponed due to rain."
祝う,to celebrate,"The family celebrated his success."
祝い,celebration,"I received dinnerware as a wedding gift."
ウエスト,waist,"Recently, my waist has gotten bigger."
純粋,pure,"You shouldn't hurt a child's pure heart."
慎重,cautious,"Let's review it cautiously one more time."
笑顔,smile,"The baby's smile is adorable."
大喜び,delight,"My younger brother was delighted with his new bicycle."
看護,nursing,"This hospital provides 24-hour nursing care."
看病,care,"She cared for him all night."
肯定,affirmation,"I can't affirm what he did."
オルガン,organ,"We sang hymns to the accompaniment of the organ."
記述,description,"I read a description of old Japanese cooking methods."
裁判,trial,"The court proceedings were broadcast on TV."
裁判所,court,"They are waiting for news in front of the court."
訴え,complaint / appeal,"Her appeal was accepted."
区域,area / zone,"This is a dangerous zone."
疑い,doubt / suspicion,"He was suspected of theft."
疑問,doubt / question,"It's doubtful whether what he said is true."
疑う,to doubt,"Why do you doubt me?"
疑わしい,suspicious,"Let's check all the suspicious places."
著しい,remarkable / striking,"His growth is remarkable."
著す,to write / to describe,"This book beautifully describes the importance of nature."
権利,rights,"We have the right to know."
権力,power / authority,"He holds significant power in this country."
人権,human rights,"All people have human rights."
棄権,abstention / withdrawal,"He withdrew from the match midway."
きっちん,kitchen,"She is cooking dinner in the kitchen."
侵す,to violate / to infringe,"You must not violate others' rights."
行為,act / deed,"His actions caused everyone's misunderstanding."
賞,award / prize,"This design has won numerous awards."
賞品,prize,"What should we pick as the bingo prize at the party?"
観賞,appreciation,"This potted plant is for decoration."
財政,finance,"The country's financial situation is dire."
財産,property / wealth,"He lost half of his wealth in stocks."
くしゃくしゃ,crumpled,"I crumpled the paper into a ball."
金融,finance,"He works in a financial company."
間隔,interval / spacing,"The trains come at 5-minute intervals."
終了,completion / end,"The concert ended at 7:05 PM."
完了,completion,"All the work has been completed."
修了,completion of a course,"I finished the course last month."
承認,approval / recognition,"This is a government-approved certification."
承知,acknowledgment / consent,"I am aware of that matter."
けち,stingy,"He is rich, but stingy."
納める,to pay / to deliver,"I paid the car tax."
説得,persuasion,"I'll try to persuade my parents somehow."
所得,income,"Please fill in your last year's income here."
得る,to gain / to obtain,"He gained a large amount of money."
乾燥,dryness,"The air gets dry in winter."
幹部,executive,"The executives of that company are all very competent."
酸素,oxygen,"We cannot live without oxygen."
素直,honest / straightforward,"She is very honest and adorable."
ざらざら,rough / gritty,"The desk feels gritty because of the dust."
水素,hydrogen,"Water is made of hydrogen and oxygen."
素早い,quick / swift,"He quickly looked around."
石炭,coal,"There is a pile of coal in the shed."
岩,rock,"Let's swim to that rock."
校庭,schoolyard,"The track team is practicing in the schoolyard."
解散,dissolution / disbandment,"The House of Representatives will likely be dissolved next year."
スモッグ,smog,"The city sky is gray with smog."
植物,plants,"I spend my holidays taking care of plants."
植民地,colony,"This country was a British colony."
植木,potted plant,"I watered the potted plants."
植物園,botanical garden,"The botanical garden has many rare flowers."
根拠,basis / grounds,"On what basis are you saying such a thing?"
根本,foundation / root,"Let's reevaluate the root of the problem."
板,board / plank,"My father bought a long board."
すり,pickpocket,"A pickpocket stole my wallet."
看板,signboard,"We repainted the store's signboard."
草花,flowers and plants,"Let's take good care of flowers and plants."
草木,vegetation,"The vegetation in this garden is withering."
言葉遣い,wording / language,"You should not use such language with your teacher."
落ち葉,fallen leaves,"It's the season of fallen leaves."
木の葉,tree leaves,"Tree leaves turn red in autumn."
書き言葉,written language,"Written language can differ greatly from spoken language."
吸収,absorption,"He absorbs knowledge quickly."
呼吸,breathing,"Please breathe slowly."
吸い込む,to inhale,"I accidentally inhaled dust."
及ぶ,to reach / to extend,"I'm sorry that the trouble extended even to you."
扱う,to handle / to treat,"Please handle this luggage carefully."
高級,high-class / luxury,"We stayed at a luxury hotel."
級,rank / grade,"He has a 3rd rank in calligraphy."
上級,advanced level,"He moved up to an advanced course."
かみそり,razor,"I cut my finger with a razor blade."
初級,beginner level,"This is a beginner-level textbook."
血管,blood vessel,"Blood vessels harden as we age."
出血,bleeding,"The bleeding is severe; you should see a doctor."
液体,liquid,"I use liquid detergent for laundry."
血液,blood,"The heart pumps blood throughout the body."
液,liquid,"Liquid is spilling from the container."
背中,back,"My back is itchy."
がやがや,clamor / chatter,"The students are noisily chattering."
背広,suit,"I sent my suit to the dry cleaners."
骨折,fracture,"She fractured her leg while skiing."
健全,healthy / sound,"Let's nurture a child's healthy mind."
診断,diagnosis,"The doctor diagnosed no abnormalities."
診察,medical examination,"I had a medical check-up at the hospital today."
医療,medical care,"I work in the healthcare field."
きょろきょろ,looking around restlessly,"A child is looking around restlessly at the venue."
気の毒,pitiful / unfortunate,"They are living a pitiful life."
消毒,disinfection,"I disinfected the wound on my foot."
症状,symptom,"I explained my symptoms to the doctor."
清書,clean copy,"Please write a clean copy of this letter."
清潔,cleanliness,"Cleanliness is the top priority in a restaurant."
監督,director / supervisor,"That director won an Academy Award."
撮影,filming,"The filming took three months to complete."
描く,to draw / to depict,"He is good at drawing portraits."
くしゃみ,sneeze,"I can't stop sneezing due to a cold."
活躍,great effort / activity,"His efforts led to the victory."
再開,resumption,"The match resumed immediately."
再生,playback / regeneration,"I played back the voicemail message."
再会,reunion,"They were delighted to be reunited."
編む,to knit,"My sister knitted a scarf."
解放,release / liberation,"I'm glad the hostages were released."
開放,opening / liberalization,"The country is being asked to open up its markets."
ぐずぐず,hesitating / dawdling,"If you dawdle, you'll miss the train."
重視,importance / emphasis,"That company places importance on academic background."
視点,perspective / viewpoint,"Let's try looking at it from a different perspective."
近視,nearsightedness,"He has mild nearsightedness."
衣類,clothing,"I organized my clothes."
衣服,clothing / garments,"His company deals with clothing."
衣料,clothing / fabric,"That company deals with textiles."
衣食住,"food, clothing, and shelter","Food, clothing, and shelter vary depending on the land."
くすぐったい,ticklish,"It's ticklish when the dog licks my face."
仮に,supposing / assuming,"Even if it's true, it's too late."
仮定,assumption,"You can't reach a conclusion based solely on assumptions."
仮,temporary / provisional,"I made a provisional application."
仮名遣い,usage of kana,"My grandfather sometimes writes using old kana spellings."
演説,speech,"He gave a speech in a rural area."
公演,performance,"Their overseas performance has been announced."
演じる,to act / to perform,"He often plays the role of a detective."
出演,appearance,"She appeared in that movie."
くたびれる,to get tired,"I got tired from walking a lot."
劇,play / drama,"I watched a children's play at the elementary school."
劇場,theater,"Let's meet in front of the theater at 8 PM."
演劇,drama / theatrical performance,"She is studying drama."
喜劇,comedy,"I watched a comedy on TV last night."
悲しみ,sadness / sorrow,"A sudden tragedy struck the family."
集団,group,"A terrorist group was captured by the police."
固定,fixing / securing,"Fix the rod with tape."
固める,to solidify / to harden,"I've already made up my mind."
固まる,to harden / to solidify,"I wonder if the pudding has set already."
固体,solid,"Ice is a solid."
固有,inherent / unique,"This is a bird unique to Japan."
主催,hosting / sponsorship,"The city hosts that art festival."
促す,to urge / to prompt,"I reminded him to stay focused."
催促,reminder / demand,"I reminded her to return the book."
エチケット,etiquette,"It's important to observe etiquette."
古典,classic / classical,"I enjoy reading classics."
辞典,dictionary,"I looked up unfamiliar words in the dictionary."
殊に,especially,"Rock is especially popular among young people."
象徴,symbol,"The emperor is the symbol of Japan."
微か,faint,"I heard a faint sound from downstairs."
ご免,sorry,"Sorry for being late."
許可,permission,"I left early with the teacher's permission."
訓練,training,"There was an evacuation drill at school."
かっと,to lose one's temper,"I lost my temper and said something unnecessary."
訓読み,kun reading,"Kanji have both on and kun readings."
訓,kun reading,"Kanji readings are classified as on and kun readings."
助詞,particle,"Changing the particle alters the meaning of the sentence."
形容詞,adjective,"'Big' is an adjective."
上司,boss,"I'll consult with my boss."
司会,host / emcee,"He is a skilled host."
購入,purchase,"Please purchase textbooks after the entrance ceremony."
講演,lecture,"His lectures are well-regarded."
講義,lecture,"His lectures are very easy to understand."
休講,canceled class,"Today's French class is canceled."
医師,doctor,"The doctor recommended hospitalization."
講師,lecturer,"We invited a specialist as a lecturer."
技師,technician,"He is an X-ray technician."
師走,December,"December is a busy time."
かんかん,enraged,"She is absolutely furious."
お手伝い,help,"Can I help you with something?"
小鳥,little bird,"I got a small bird for my birthday."
大声,loud voice,"We sang loudly."
歌声,singing voice,"I heard singing voices from the school building."
騒ぎ,commotion,"What on earth is the commotion about?"
騒がしい,noisy,"The street seems quite noisy."
飼う,to keep / to raise (pets),"Have you ever kept a pet?"
これまで,until now,"I'm not the same person I was until now."
刺さる,to be stuck / to pierce,"A nail got stuck in the sole of my shoe."
急激,rapid / sudden,"The aging population will increase rapidly from now on."
刺激,stimulus,"That quiz show stimulates the brain."
感激,deep emotion,"I was so moved that I cried."
興味,interest,"I'm interested in history."
興奮,excitement,"I was moved and excited by her victory."
驚き,surprise,"She couldn't hide her surprise."
驚かす,to surprise / to amaze,"I have a surprising story for you."
じめじめ,damp / humid,"The rainy season feels so humid."
至る,to reach / to lead to,"We've finally reached a conclusion."
至る所,everywhere,"Convenience stores are everywhere."
至急,urgent / immediately,"The company contacted me saying it's urgent."
一致,agreement / consensus,"Everyone's opinions matched."
致す,to do (humble),"I'll contact you myself."
傾く,to tilt / to incline,"The sun has tilted to the west."
傾ける,to tilt / to lean,"She tilts her head slightly and smiles."
じろじろ,staring intently,"It's rude to stare at people."
坂,hill / slope,"Climbing this hill is really tough."
狭まる,to narrow,"The road narrows from here."
狭める,to narrow down,"Let's narrow the scope further and search."
徐行,slow driving,"Please drive slowly beyond this point."
硬さ,hardness,"We compared the hardness of stones in science class."
柔軟,flexible,"He responded flexibly."
緊急,emergency,"An emergency situation has occurred."
緊張,tension / nervousness,"He seemed nervous."
拡張,expansion,"The company is expanding its stores."
出張,business trip,"The manager is on a business trip in Kyoto."
衝突,collision,"Two cars collided at that corner."
煙突,chimney,"Smoke is rising from the factory's chimney."
避ける,to avoid,"It seems like she's been avoiding me since yesterday."
軍事,military,"He has been working in the military field."
軍,army,"The injured were transported to a military hospital."
自衛隊,Self-Defense Forces,"The Self-Defense Forces were dispatched to Iraq."
軍隊,army / troops,"He joined the army."
核,nucleus / core,"Nuclear war must absolutely be prevented."
結核,tuberculosis,"In the past, many people died of tuberculosis."
専攻,major / specialization,"I majored in physics at university."
攻める,to attack,"He attacked aggressively but couldn't win."
撃つ,to shoot,"He was shot with a handgun."
かちかち,hard / stiff,"The pond is frozen solid."
暴れる,to act violently,"He acted violently after drinking too much."
襲う,to attack / to strike,"A bear attacked a hiker in the mountains."
絶対,absolutely,"That's absolutely impossible."
気絶,fainting,"She was so shocked that she fainted."
消防,firefighting,"Firefighters must be brave."
嫌う,to dislike,"My father dislikes rush hour."
嫌がる,to hate / to avoid,"He hates cigarette smoke."
くたくた,exhausted,"I'm exhausted from walking so much today."
機嫌,mood / temper,"She's in a really good mood."
好き嫌い,likes and dislikes,"I don't have any particular food preferences."
抗議,protest,"There were many protests against his statement."
素敵,wonderful,"Thank you for the wonderful gift."
脅かす,to threaten / to scare,"Don't scare me!"
権威,authority,"The doctor is an authority in his field."
威張る,to boast,"He isn't boasting at all."
情勢,situation / circumstances,"I watch the news daily to keep up with world affairs."
こしょう,pepper,"The soup is spicy because there's too much pepper."
勢力,power / influence,"Rome was expanding its power during this time."
勢い,momentum / vigor,"That team has great momentum."
恐れ,fear / risk,"My uncle is at risk of heart disease."
恐れる,to fear,"He fears failing the exam."
恐らく,probably,"It will probably be sunny tomorrow."
怖がる,to be scared,"She's scared of spiders."
巨大,giant / enormous,"That enormous building is a museum."
すべすべ,smooth,"Her skin is so smooth."
拒否,refusal / rejection,"She refused to attend."
系列,affiliated / group,"After graduating high school, I went to an affiliated university."
系統,system / lineage,"I checked the electrical system on the blueprint."
子孫,descendant,"He is a descendant of Oda Nobunaga."
絹,silk,"This shirt is made of silk."
維持,maintenance,"She is managing to maintain her health."
紳士,gentleman,"A well-dressed gentleman spoke to me."
せっかく,with effort / special,"Since you've come all this way, take your time."
偉大,great,"He accomplished a great achievement."
刀,sword,"I saw a sword in a Japanese movie."
孤独,loneliness,"He led a lonely life."
事柄,matter / topic,"Please summarize the topics we've discussed so far."
柄,handle / pattern,"The handle of this umbrella is sturdy."
枝,branch,"A strong wind broke the tree branch."
枯れる,to wither,"The flowers in the vase have withered."
木枯らし,autumn wind,"The autumn wind is blowing outside."
詩,poetry,"Her poetry became famous worldwide."
詩人,poet,"He is an excellent poet."
誠実,sincerity / honesty,"He is a very sincere person."
盛ん,prosperous,"That city has a thriving commercial industry."
謙遜,modesty / humility,"You don't need to be so modest."
兼ねる,to combine,"She handles both secretary and office duties."
鋭い,sharp,"I injured my finger with a sharp knife."
鎖,chain,"The dog was tied with a chain."
鑑賞,appreciation,"Tonight, I'm going to enjoy an opera."
印鑑,seal / stamp,"Please stamp your seal here for receipt."
鐘,bell,"The sound of this bell is very beautiful."
寿命,lifespan,"Turtles have a long lifespan."
海水浴,swimming in the sea,"We go swimming in the sea during summer vacation."
沿岸,coastline,"The waves along the coast are rough today."
砂浜,sandy beach,"I walked along the sandy beach early in the morning."
沖,offshore,"You can see a small island offshore."
泉,spring / fountain,"There is a beautiful spring in the forest."
温泉,hot spring,"This hot spring is said to be very effective."
澄む,to clear / to become clear,"The mountain air is so clear."
叫び,shout / scream,"No one noticed her heartfelt scream."
叫ぶ,to shout / to cry out,"She shouted loudly for help."
喫煙,smoking,"You cannot smoke here."
懸ける,to risk / to stake,"He is staking his life on his work."
恩,favor / kindness,"I will never forget this kindness."
